"SubNo"	"Hemisphere"	"Block"	"Trial"	"ACC"	"RT"	"Twitches"	"Task"	"Congruence"	"Axes"	"HomLocation"
"262"	1	1	14	2	1	0.367997	1	"Flanker"	"Cong"	"NW.SE"	"PO3.4"
"263"	1	1	14	3	1	0.489748	1	"Flanker"	"Cong"	"NW.SE"	"PO3.4"
"264"	1	1	14	4	1	0.451428	1	"Flanker"	"Incong"	"NW.SE"	"PO3.4"
"265"	1	1	14	5	1	0.429294	1	"Flanker"	"Cong"	"NW.SE"	"PO3.4"
"266"	1	1	14	6	1	0.388817	1	"Flanker"	"Incong"	"N.S"	"PO3.4"
"267"	1	1	14	7	1	0.445169	1	"Flanker"	"Cong"	"N.S"	"PO3.4"
"268"	1	1	14	8	1	0.471061	1	"Flanker"	"Incong"	"N.S"	"PO3.4"
"269"	1	1	14	9	1	0.49655	1	"Flanker"	"Incong"	"N.S"	"PO3.4"
"270"	1	1	14	10	1	0.413743	1	"Flanker"	"Cong"	"N.S"	"PO3.4"
"271"	1	1	14	11	1	0.430957	0	"Flanker"	"Incong"	"E.W"	"PO3.4"
"272"	1	1	14	12	1	0.408929	0	"Flanker"	"Cong"	"E.W"	"PO3.4"
"273"	1	1	14	13	1	0.402502	0	"Flanker"	"Cong"	"E.W"	"PO3.4"
"274"	1	1	14	14	1	0.396016	0	"Flanker"	"Incong"	"E.W"	"PO3.4"
"275"	1	1	14	15	1	0.469803	0	"Flanker"	"Cong"	"E.W"	"PO3.4"
"276"	1	1	14	16	1	0.680271	0	"Flanker"	"Incong"	"NE.SW"	"PO3.4"
"277"	1	1	14	17	1	0.386255	0	"Flanker"	"Cong"	"NE.SW"	"PO3.4"
"278"	1	1	14	18	1	0.444196	0	"Flanker"	"Incong"	"NE.SW"	"PO3.4"
"279"	1	1	14	19	1	0.422085	0	"Flanker"	"Incong"	"NE.SW"	"PO3.4"
"280"	1	1	14	20	1	0.447646	0	"Flanker"	"Cong"	"NE.SW"	"PO3.4"
"281"	1	1	15	1	1	0.366293	4	"Flanker"	"Cong"	"N.S"	"T7.8"
"282"	1	1	15	2	1	0.472484	4	"Flanker"	"Cong"	"N.S"	"T7.8"
"283"	1	1	15	3	1	0.433825	4	"Flanker"	"Incong"	"N.S"	"T7.8"
